B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B21, Trade, 553.700, 349, B21, S05, 1
B21, Trade, 574.600, 350, B21, S19, 1
B21, Trade, 578.275, 343, B21, S14, 1
B21, Trade, 592.062, 351, B21, S10, 1
B21, Trade, 598.137, 352, B21, S04, 1
B22, 58
B22, Trade, 4.863, 196, S11, B22, 1
B22, Trade, 14.875, 178, S16, B22, 1
B22, Trade, 26.312, 215, B22, S10, 1
B22, Trade, 37.000, 207, S07, B22, 1
B22, Trade, 43.863, 203, S11, B22, 1
B22, Trade, 57.600, 215, B22, S02, 1
B22, Trade, 64.425, 202, S17, B22, 1
B22, Trade, 75.313, 211, S08, B22, 1
B22, Trade, 83.513, 170, S14, B22, 1
B22, Trade, 97.775, 215, B22, S09, 1
B22, Trade, 108.825, 215, B22, S08, 1
B22, Trade, 117.213, 202, S13, B22, 1
B22, Trade, 128.900, 202, S09, B22, 1
B22, Trade, 142.525, 210, S17, B22, 1
B22, Trade, 148.188, 215, B22, S02, 1
B22, Trade, 162.862, 199, S11, B22, 1
B22, Trade, 168.150, 215, B22, S00, 1
B22, Trade, 174.537, 215, S22, B22, 1
B22, Trade, 185.075, 191, S17, B22, 1
B22, Trade, 197.600, 214, S08, B22, 1
B22, Trade, 207.237, 206, S11, B22, 1
B22, Trade, 216.287, 210, S04, B22, 1
B22, Trade, 227.387, 207, S12, B22, 1
B22, Trade, 239.125, 215, B22, S00, 1
B22, Trade, 242.187, 215, S07, B22, 1
B22, Trade, 260.837, 204, S07, B22, 1
B22, Trade, 268.662, 210, S17, B22, 1
B22, Trade, 276.450, 172, S15, B22, 1
B22, Trade, 290.800, 215, S22, B22, 1
B22, Trade, 306.200, 300, S00, B22, 1
B22, Trade, 316.850, 338, S04, B22, 1
B22, Trade, 330.550, 354, S19, B22, 1
B22, Trade, 335.612, 351, S20, B22, 1
B22, Trade, 347.637, 347, S08, B22, 1
B22, Trade, 351.912, 354, S13, B22, 1
B22, Trade, 364.950, 353, S08, B22, 1
B22, Trade, 379.462, 352, S05, B22, 1
B22, Trade, 390.000, 351, S20, B22, 1
B22, Trade, 397.262, 356, B22, S19, 1
B22, Trade, 410.762, 356, S22, B22, 1
B22, Trade, 417.787, 337, S09, B22, 1
B22, Trade, 425.600, 356, B22, S06, 1
B22, Trade, 441.237, 349, S12, B22, 1
B22, Trade, 448.400, 348, S08, B22, 1
B22, Trade, 456.150, 356, B22, S17, 1
B22, Trade, 470.187, 349, S18, B22, 1
B22, Trade, 477.550, 342, S11, B22, 1
B22, Trade, 486.812, 353, S08, B22, 1
B22, Trade, 499.475, 356, B22, S02, 1
B22, Trade, 509.250, 349, S18, B22, 1
B22, Trade, 514.787, 349, S12, B22, 1
B22, Trade, 527.150, 356, S22, B22, 1
B22, Trade, 540.437, 343, S04, B22, 1
B22, Trade, 544.900, 356, S22, B22, 1
B22, Trade, 559.750, 350, S11, B22, 1
B22, Trade, 567.725, 351, S17, B22, 1
B22, Trade, 578.575, 356, B22, S02, 1
B22, Trade, 585.425, 356, B22, S14, 1
B23, 60
B23, Trade, 8.913, 221, B23, S05, 1
B23, Trade, 16.837, 203, S20, B23, 1
B23, Trade, 23.737, 205, S11, B23, 1
B23, Trade, 34.437, 210, S08, B23, 1
B23, Trade, 48.900, 186, S05, B23, 1
B23, Trade, 50.788, 220, S13, B23, 1
B23, Trade, 70.013, 205, S12, B23, 1
B23, Trade, 79.013, 203, S12, B23, 1
B23, Trade, 80.400, 221, S19, B23, 1
B23, Trade, 97.688, 172, S15, B23, 1
B23, Trade, 104.738, 177, S11, B23, 1
B23, Trade, 114.063, 203, S20, B23, 1
B23, Trade, 125.050, 199, S13, B23, 1
B23, Trade, 132.788, 197, S17, B23, 1
B23, Trade, 141.875, 221, S23, B23, 1
B23, Trade, 151.887, 216, S08, B23, 1
B23, Trade, 164.637, 203, S13, B23, 1
B23, Trade, 178.950, 204, S04, B23, 1
B23, Trade, 185.812, 221, S23, B23, 1
B23, Trade, 195.025, 218, S07, B23, 1
B23, Trade, 203.837, 220, S09, B23, 1
B23, Trade, 219.862, 199, S09, B23, 1
B23, Trade, 222.825, 218, S22, B23, 1
B23, Trade, 236.387, 217, S09, B23, 1
B23, Trade, 245.975, 200, S04, B23, 1
B23, Trade, 257.262, 194, S11, B23, 1
B23, Trade, 268.125, 220, S13, B23, 1
B23, Trade, 278.675, 185, S11, B23, 1
B23, Trade, 286.400, 202, S07, B23, 1
B23, Trade, 297.787, 221, S23, B23, 1
B23, Trade, 301.712, 221, S23, B23, 1
B23, Trade, 321.025, 356, S22, B23, 1
B23, Trade, 329.087, 347, S08, B23, 1
B23, Trade, 336.062, 350, S17, B23, 1
B23, Trade, 345.575, 346, S04, B23, 1
B23, Trade, 356.575, 358, S23, B23, 1
B23, Trade, 362.175, 355, S04, B23, 1
B23, Trade, 381.775, 357, S20, B23, 1
B23, Trade, 388.762, 348, S12, B23, 1
B23, Trade, 394.150, 353, S11, B23, 1
B23, Trade, 402.862, 336, S09, B23, 1
B23, Trade, 412.237, 357, S17, B23, 1
B23, Trade, 430.025, 353, S08, B23, 1
B23, Trade, 433.825, 353, S17, B23, 1
B23, Trade, 443.825, 349, S13, B23, 1
B23, Trade, 454.362, 348, S18, B23, 1
B23, Trade, 470.225, 351, S20, B23, 1
B23, Trade, 477.625, 344, S12, B23, 1
B23, Trade, 489.050, 358, S23, B23, 1
B23, Trade, 496.462, 353, S12, B23, 1
B23, Trade, 508.362, 344, S17, B23, 1
B23, Trade, 514.275, 350, S13, B23, 1
B23, Trade, 528.862, 341, S16, B23, 1
B23, Trade, 541.600, 354, S21, B23, 1
B23, Trade, 543.425, 353, S09, B23, 1
B23, Trade, 561.187, 352, S12, B23, 1
B23, Trade, 563.262, 358, S23, B23, 1
B23, Trade, 578.762, 354, S08, B23, 1
B23, Trade, 589.662, 351, S09, B23, 1
B23, Trade, 592.712, 353, S11, B23, 1
B24, 58
B24, Trade, 4.613, 186, S12, B24, 1
B24, Trade, 21.537, 221, S23, B24, 1
B24, Trade, 33.612, 214, S03, B24, 1
B24, Trade, 40.175, 207, S18, B24, 1
B24, Trade, 47.050, 215, S22, B24, 1
B24, Trade, 60.388, 202, S12, B24, 1
B24, Trade, 67.650, 201, S18, B24, 1
B24, Trade, 72.763, 205, S04, B24, 1
B24, Trade, 90.538, 216, S09, B24, 1
B24, Trade, 101.263, 175, S04, B24, 1
B24, Trade, 119.663, 206, S11, B24, 1
B24, Trade, 123.600, 200, S18, B24, 1
B24, Trade, 137.050, 227, S24, B24, 1
B24, Trade, 140.513, 213, S13, B24, 1
B24, Trade, 156.112, 188, S11, B24, 1
B24, Trade, 160.787, 184, S17, B24, 1
B24, Trade, 171.937, 211, S13, B24, 1
B24, Trade, 187.975, 203, S20, B24, 1
B24, Trade, 194.375, 192, S13, B24, 1
B24, Trade, 204.637, 219, S04, B24, 1
B24, Trade, 213.187, 208, S08, B24, 1
B24, Trade, 221.187, 214, S07, B24, 1
B24, Trade, 237.675, 227, B24, S16, 1
B24, Trade, 247.537, 201, S12, B24, 1
B24, Trade, 254.287, 204, S20, B24, 1
B24, Trade, 269.512, 221, S23, B24, 1
B24, Trade, 277.950, 180, S14, B24, 1
B24, Trade, 286.600, 215, S22, B24, 1
B24, Trade, 300.150, 212, S09, B24, 1
B24, Trade, 304.762, 264, S30, B24, 1
B24, Trade, 320.450, 351, S20, B24, 1
B24, Trade, 331.100, 356, S22, B24, 1
B24, Trade, 338.400, 361, S24, B24, 1
B24, Trade, 345.312, 344, S09, B24, 1
B24, Trade, 354.925, 355, S12, B24, 1
B24, Trade, 370.300, 356, S22, B24, 1
B24, Trade, 380.800, 354, S18, B24, 1
B24, Trade, 391.737, 357, S09, B24, 1
B24, Trade, 396.825, 361, B24, S06, 1
B24, Trade, 409.850, 361, B24, S18, 1
B24, Trade, 413.825, 356, S13, B24, 1
B24, Trade, 423.887, 349, S17, B24, 1
B24, Trade, 438.575, 350, S11, B24, 1
B24, Trade, 442.162, 349, S08, B24, 1
B24, Trade, 452.987, 347, S11, B24, 1
B24, Trade, 465.837, 352, S12, B24, 1
B24, Trade, 484.337, 353, S12, B24, 1
B24, Trade, 498.162, 356, S22, B24, 1
B24, Trade, 505.712, 346, S04, B24, 1
B24, Trade, 517.837, 358, S09, B24, 1
B24, Trade, 527.137, 352, S17, B24, 1
B24, Trade, 536.100, 344, S12, B24, 1
B24, Trade, 544.637, 354, S11, B24, 1
B24, Trade, 560.587, 348, S07, B24, 1
B24, Trade, 569.625, 356, S22, B24, 1
B24, Trade, 576.475, 351, S07, B24, 1
